Artist.Name,Genre,Popularity,Foreign Key
Ali Gatie,canadian hip hop,89,It's You
Anuel AA,reggaeton flow,92,China
Ariana Grande,dance pop,89,7 rings
Bad Bunny,reggaeton,93,Callaita
Billie Eilish,electropop,89,bad guy
Chris Brown,dance pop,82,No Guidance
Daddy Yankee,latin,91,Con Calma
DJ Snake,dance pop,86,Loco Contigo
Drake,canadian hip hop,92,Money In The Grave 
Ed Sheeran,pop,82,Cross Me
J Balvin,latin,89,QUE PRETENDES
Jhay Cortez,reggaeton flow,83,No Me Conocexs
Jonas Brothers,boy band,80,Sucker
Katy Perry,dance pop,89,Never Really Over
Khalid,pop,84,Talk
Kygo,edm,88,Higher Love
Lady Gaga,dance pop,87,Shallow
Lauv,dance pop,78,"fuck, i'm lonely"
Lewis Capaldi,pop,88,Someone You Loved
Lil Nas X,country rap,91,Panini
Lil Tecca,trap music,92,Ransom
Lizzo,escape room,91,Truth Hurts
Lunay,latin,91,Soltera
Marshmello,brostep,88,Happier
Martin Garrix,big room,89,Summer Days
MEDUZA,pop house,91,Piece Of Your Heart
Nicky Jam,latin,88,Te Robaré
Post Malone,dfw rap,91,Sunflower
ROSALÍA,r&b en espanol,88,Con Altura
Sam Smith,pop,90,How Do You Sleep
Sech,panamanian pop,91,Otro Trago
Shawn Mendes,canadian pop,70,If I Can't Have You
Taylor Swift,dance pop,90,You Need To Calm Down
The Chainsmokers,edm,88,Call You Mine
Tones and I,australian pop,83,Dance Monkey
Young Thug,atl hip hop,89,The London
Y2K,canadian hip hop,88,Lalala
